,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.719,29.209,21.337,14.302,8.538,10.1,25.224,19.891,18.073,19.019,129.377,44.462,52.806,100.882,168.268,130.719,
PS2,79.034,28.829,23.966,44.217,50.779,46.863,40.27,38.916,38.586,48.794,43.368,57.84,52.806,43.295,21.997,36.051,55.346,55.346,40.928,24.529,21.989,24.638,33.919,43.275,75.693,77.869,79.867,88.286,156.471,103.263,75.283,69.158,69.159,60.019,51.236,44.844,45.651,47.29,40.565,41.487,41.183,36.276,41.665,31.323,33.993,36.224,37.381,108.161,103.141,184.179,221.978,248.912,
DC,13.458,6.404,4.729,4.091,2.639,1.523,1.52,6.359,40.497,19.747,15.339,15.667,14.991,8.954,7.19,5.056,6.558,6.559,3.908,2.392,4.874,5.473,5.354,4.279,5.697,6.43,2.904,5.951,3.368,5.077,4.118,1.813,1.813,3.908,3.615,8.245,2.889,1.082,1.586,682,387,589,254,283,152,296,119,202,5.232,7.109,2.992,3.746,
GBA,,,,,,,,,,,,611.504,323.686,197.421,139.499,95.324,141.09,141.091,88.872,70.875,71.334,58.187,51.363,52.998,93.821,91.094,94.38,73.315,95.618,85.209,85.225,94.412,94.413,78.328,64.827,57.405,50.44,68.77,61.566,44.922,39.363,37.057,44.413,36.074,33.146,28.096,31.083,43.908,38.887,120.711,264.849,215.741,
N64,13.289,3.785,2.05,2.23,2.129,1.313,1.845,1.467,2.118,1.978,1.69,2.46,2.219,1.341,1.109,1.518,2.077,2.077,894,1.336,1.251,1.573,993,978,936,1.37,776,552,1.393,1.266,989,1.842,1.842,1.023,750,347,511,679,644,811,304,493,378,143,331,481,564,405,,,,,
PS1,23.768,11.213,7.756,6.266,6.559,5.333,5.951,5.611,13.239,16.044,15.162,14.131,14.996,14.844,13.788,9.624,16.304,16.308,9.372,11.804,8.944,8.628,7.588,10.116,7.472,11.21,9.901,6.528,6.637,7.762,8.808,10.379,10.379,9.801,6.675,6.342,11.245,10.806,8.97,8.891,10.072,12.509,13.234,16.346,14.756,14.477,23.675,16.588,21.911,37.569,46.45,36.695,
WSC,43.642,5.363,8.447,14.93,11.601,7.846,7.588,6.644,6.136,4.382,3.391,4.268,3.505,3.667,3.241,2.892,18.849,18.85,3.582,3.276,2.532,3.217,3.57,2.752,3.01,4.211,1.424,3.264,2.328,2.435,1.655,2.042,2.043,2.238,2.147,1.666,2.845,1.683,1.985,3.957,3.85,3.644,4.251,7.94,5.099,3.946,5.218,2.862,3.187,5.588,8.716,9.292,
NGPC,1.406,1.339,898,673,943,1.244,153,567,421,425,641,470,814,561,286,525,373,374,276,278,186,418,156,235,219,247,435,172,156,77,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.719,162.928,184.265,198.567,207.105,217.205,242.429,262.32,280.393,299.412,428.789,473.251,526.057,626.939,795.207,925.926,
PS2,79.034,107.863,131.829,176.046,226.825,273.688,313.958,352.874,391.46,440.254,483.622,541.462,594.268,637.563,659.56,695.611,750.957,806.303,847.231,871.76,893.749,918.387,952.306,995.581,1.071.274,1.149.143,1.229.010,1.317.296,1.473.767,1.577.030,1.652.313,1.721.471,1.790.630,1.850.649,1.901.885,1.946.729,1.992.380,2.039.670,2.080.235,2.121.722,2.162.905,2.199.181,2.240.846,2.272.169,2.306.162,2.342.386,2.379.767,2.487.928,2.591.069,2.775.248,2.997.226,3.246.138,
DC,13.458,19.862,24.591,28.682,31.321,32.844,34.364,40.723,81.22,100.967,116.306,131.973,146.964,155.918,163.108,168.164,174.722,181.281,185.189,187.581,192.455,197.928,203.282,207.561,213.258,219.688,222.592,228.543,231.911,236.988,241.106,242.919,244.732,248.64,252.255,260.5,263.389,264.471,266.057,266.739,267.126,267.715,267.969,268.252,268.404,268.7,268.819,269.021,274.253,281.362,284.354,288.1,
GBA,,,,,,,,,,,,611.504,935.19,1.132.611,1.272.110,1.367.434,1.508.524,1.649.615,1.738.487,1.809.362,1.880.696,1.938.883,1.990.246,2.043.244,2.137.065,2.228.159,2.322.539,2.395.854,2.491.472,2.576.681,2.661.906,2.756.318,2.850.731,2.929.059,2.993.886,3.051.291,3.101.731,3.170.501,3.232.067,3.276.989,3.316.352,3.353.409,3.397.822,3.433.896,3.467.042,3.495.138,3.526.221,3.570.129,3.609.016,3.729.727,3.994.576,4.210.317,
N64,13.289,17.074,19.124,21.354,23.483,24.796,26.641,28.108,30.226,32.204,33.894,36.354,38.573,39.914,41.023,42.541,44.618,46.695,47.589,48.925,50.176,51.749,52.742,53.72,54.656,56.026,56.802,57.354,58.747,60.013,61.002,62.844,64.686,65.709,66.459,66.806,67.317,67.996,68.64,69.451,69.755,70.248,70.626,70.769,71.1,71.581,72.145,72.55,72.55,72.55,72.55,72.55,
PS1,23.768,34.981,42.737,49.003,55.562,60.895,66.846,72.457,85.696,101.74,116.902,131.033,146.029,160.873,174.661,184.285,200.589,216.897,226.269,238.073,247.017,255.645,263.233,273.349,280.821,292.031,301.932,308.46,315.097,322.859,331.667,342.046,352.425,362.226,368.901,375.243,386.488,397.294,406.264,415.155,425.227,437.736,450.97,467.316,482.072,496.549,520.224,536.812,558.723,596.292,642.742,679.437,
WSC,43.642,49.005,57.452,72.382,83.983,91.829,99.417,106.061,112.197,116.579,119.97,124.238,127.743,131.41,134.651,137.543,156.392,175.242,178.824,182.1,184.632,187.849,191.419,194.171,197.181,201.392,202.816,206.08,208.408,210.843,212.498,214.54,216.583,218.821,220.968,222.634,225.479,227.162,229.147,233.104,236.954,240.598,244.849,252.789,257.888,261.834,267.052,269.914,273.101,278.689,287.405,296.697,
NGPC,1.406,2.745,3.643,4.316,5.259,6.503,6.656,7.223,7.644,8.069,8.71,9.18,9.994,10.555,10.841,11.366,11.739,12.113,12.389,12.667,12.853,13.271,13.427,13.662,13.881,14.128,14.563,14.735,14.891,14.968,14.968,14.968,14.968,14.968,14.968,14.968,14.968,14.968,14.968,14.968,14.968,14.968,14.968,14.968,14.968,14.968,14.968,14.968,14.968,14.968,14.968,14.968,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.719,162.928,184.265,198.567,207.105,217.205,242.429,262.32,280.393,299.412,428.789,473.251,526.057,626.939,795.207,925.926,
PS2,3.179.829,3.208.658,3.232.624,3.276.841,3.327.620,3.374.483,3.414.753,3.453.669,3.492.255,3.541.049,3.584.417,3.642.257,3.695.063,3.738.358,3.760.355,3.796.406,3.851.752,3.907.098,3.948.026,3.972.555,3.994.544,4.019.182,4.053.101,4.096.376,4.172.069,4.249.938,4.329.805,4.418.091,4.574.562,4.677.825,4.753.108,4.822.266,4.891.425,4.951.444,5.002.680,5.047.524,5.093.175,5.140.465,5.181.030,5.222.517,5.263.700,5.299.976,5.341.641,5.372.964,5.406.957,5.443.181,5.480.562,5.588.723,5.691.864,5.876.043,6.098.021,6.346.933,
DC,1.638.095,1.644.499,1.649.228,1.653.319,1.655.958,1.657.481,1.659.001,1.665.360,1.705.857,1.725.604,1.740.943,1.756.610,1.771.601,1.780.555,1.787.745,1.792.801,1.799.359,1.805.918,1.809.826,1.812.218,1.817.092,1.822.565,1.827.919,1.832.198,1.837.895,1.844.325,1.847.229,1.853.180,1.856.548,1.861.625,1.865.743,1.867.556,1.869.369,1.873.277,1.876.892,1.885.137,1.888.026,1.889.108,1.890.694,1.891.376,1.891.763,1.892.352,1.892.606,1.892.889,1.893.041,1.893.337,1.893.456,1.893.658,1.898.890,1.905.999,1.908.991,1.912.737,
GBA,,,,,,,,,,,,611.504,935.19,1.132.611,1.272.110,1.367.434,1.508.524,1.649.615,1.738.487,1.809.362,1.880.696,1.938.883,1.990.246,2.043.244,2.137.065,2.228.159,2.322.539,2.395.854,2.491.472,2.576.681,2.661.906,2.756.318,2.850.731,2.929.059,2.993.886,3.051.291,3.101.731,3.170.501,3.232.067,3.276.989,3.316.352,3.353.409,3.397.822,3.433.896,3.467.042,3.495.138,3.526.221,3.570.129,3.609.016,3.729.727,3.994.576,4.210.317,
N64,4.440.061,4.443.846,4.445.896,4.448.126,4.450.255,4.451.568,4.453.413,4.454.880,4.456.998,4.458.976,4.460.666,4.463.126,4.465.345,4.466.686,4.467.795,4.469.313,4.471.390,4.473.467,4.474.361,4.475.697,4.476.948,4.478.521,4.479.514,4.480.492,4.481.428,4.482.798,4.483.574,4.484.126,4.485.519,4.486.785,4.487.774,4.489.616,4.491.458,4.492.481,4.493.231,4.493.578,4.494.089,4.494.768,4.495.412,4.496.223,4.496.527,4.497.020,4.497.398,4.497.541,4.497.872,4.498.353,4.498.917,4.499.322,4.499.322,4.499.322,4.499.322,4.499.322,
PS1,17.884.299,17.895.512,17.903.268,17.909.534,17.916.093,17.921.426,17.927.377,17.932.988,17.946.227,17.962.271,17.977.433,17.991.564,18.006.560,18.021.404,18.035.192,18.044.816,18.061.120,18.077.428,18.086.800,18.098.604,18.107.548,18.116.176,18.123.764,18.133.880,18.141.352,18.152.562,18.162.463,18.168.991,18.175.628,18.183.390,18.192.198,18.202.577,18.212.956,18.222.757,18.229.432,18.235.774,18.247.019,18.257.825,18.266.795,18.275.686,18.285.758,18.298.267,18.311.501,18.327.847,18.342.603,18.357.080,18.380.755,18.397.343,18.419.254,18.456.823,18.503.273,18.539.968,
WSC,302.753,308.116,316.563,331.493,343.094,350.94,358.528,365.172,371.308,375.69,379.081,383.349,386.854,390.521,393.762,396.654,415.503,434.353,437.935,441.211,443.743,446.96,450.53,453.282,456.292,460.503,461.927,465.191,467.519,469.954,471.609,473.651,475.694,477.932,480.079,481.745,484.59,486.273,488.258,492.215,496.065,499.709,503.96,511.9,516.999,520.945,526.163,529.025,532.212,537.8,546.516,555.808,
NGPC,243.041,244.38,245.278,245.951,246.894,248.138,248.291,248.858,249.279,249.704,250.345,250.815,251.629,252.19,252.476,253.001,253.374,253.748,254.024,254.302,254.488,254.906,255.062,255.297,255.516,255.763,256.198,256.37,256.526,256.603,256.603,256.603,256.603,256.603,256.603,256.603,256.603,256.603,256.603,256.603,256.603,256.603,256.603,256.603,256.603,256.603,256.603,256.603,256.603,256.603,256.603,256.603,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,NGC,PS2,DC,GBA,N64,PS1,WSC,NGPC,,NGC,PS2,DC,GBA,N64,PS1,WSC,NGPC,,NGC,PS2,DC,GBA,N64,PS1,WSC,NGPC,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,79.034,13.458,,13.289,23.768,43.642,1.406,,,79.034,13.458,,13.289,23.768,43.642,1.406,,,3.179.829,1.638.095,,4.440.061,17.884.299,302.753,243.041,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,28.829,6.404,,3.785,11.213,5.363,1.339,,,107.863,19.862,,17.074,34.981,49.005,2.745,,,3.208.658,1.644.499,,4.443.846,17.895.512,308.116,244.38,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,23.966,4.729,,2.05,7.756,8.447,898,,,131.829,24.591,,19.124,42.737,57.452,3.643,,,3.232.624,1.649.228,,4.445.896,17.903.268,316.563,245.278,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,44.217,4.091,,2.23,6.266,14.93,673,,,176.046,28.682,,21.354,49.003,72.382,4.316,,,3.276.841,1.653.319,,4.448.126,17.909.534,331.493,245.951,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,50.779,2.639,,2.129,6.559,11.601,943,,,226.825,31.321,,23.483,55.562,83.983,5.259,,,3.327.620,1.655.958,,4.450.255,17.916.093,343.094,246.894,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,46.863,1.523,,1.313,5.333,7.846,1.244,,,273.688,32.844,,24.796,60.895,91.829,6.503,,,3.374.483,1.657.481,,4.451.568,17.921.426,350.94,248.138,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,40.27,1.52,,1.845,5.951,7.588,153,,,313.958,34.364,,26.641,66.846,99.417,6.656,,,3.414.753,1.659.001,,4.453.413,17.927.377,358.528,248.291,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,38.916,6.359,,1.467,5.611,6.644,567,,,352.874,40.723,,28.108,72.457,106.061,7.223,,,3.453.669,1.665.360,,4.454.880,17.932.988,365.172,248.858,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,38.586,40.497,,2.118,13.239,6.136,421,,,391.46,81.22,,30.226,85.696,112.197,7.644,,,3.492.255,1.705.857,,4.456.998,17.946.227,371.308,249.279,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,48.794,19.747,,1.978,16.044,4.382,425,,,440.254,100.967,,32.204,101.74,116.579,8.069,,,3.541.049,1.725.604,,4.458.976,17.962.271,375.69,249.704,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,43.368,15.339,,1.69,15.162,3.391,641,,,483.622,116.306,,33.894,116.902,119.97,8.71,,,3.584.417,1.740.943,,4.460.666,17.977.433,379.081,250.345,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,57.84,15.667,611.504,2.46,14.131,4.268,470,,,541.462,131.973,611.504,36.354,131.033,124.238,9.18,,,3.642.257,1.756.610,611.504,4.463.126,17.991.564,383.349,250.815,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,52.806,14.991,323.686,2.219,14.996,3.505,814,,,594.268,146.964,935.19,38.573,146.029,127.743,9.994,,,3.695.063,1.771.601,935.19,4.465.345,18.006.560,386.854,251.629,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,43.295,8.954,197.421,1.341,14.844,3.667,561,,,637.563,155.918,1.132.611,39.914,160.873,131.41,10.555,,,3.738.358,1.780.555,1.132.611,4.466.686,18.021.404,390.521,252.19,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21.997,7.19,139.499,1.109,13.788,3.241,286,,,659.56,163.108,1.272.110,41.023,174.661,134.651,10.841,,,3.760.355,1.787.745,1.272.110,4.467.795,18.035.192,393.762,252.476,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,36.051,5.056,95.324,1.518,9.624,2.892,525,,,695.611,168.164,1.367.434,42.541,184.285,137.543,11.366,,,3.796.406,1.792.801,1.367.434,4.469.313,18.044.816,396.654,253.001,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,55.346,6.558,141.09,2.077,16.304,18.849,373,,,750.957,174.722,1.508.524,44.618,200.589,156.392,11.739,,,3.851.752,1.799.359,1.508.524,4.471.390,18.061.120,415.503,253.374,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,55.346,6.559,141.091,2.077,16.308,18.85,374,,,806.303,181.281,1.649.615,46.695,216.897,175.242,12.113,,,3.907.098,1.805.918,1.649.615,4.473.467,18.077.428,434.353,253.748,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,40.928,3.908,88.872,894,9.372,3.582,276,,,847.231,185.189,1.738.487,47.589,226.269,178.824,12.389,,,3.948.026,1.809.826,1.738.487,4.474.361,18.086.800,437.935,254.024,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24.529,2.392,70.875,1.336,11.804,3.276,278,,,871.76,187.581,1.809.362,48.925,238.073,182.1,12.667,,,3.972.555,1.812.218,1.809.362,4.475.697,18.098.604,441.211,254.302,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,21.989,4.874,71.334,1.251,8.944,2.532,186,,,893.749,192.455,1.880.696,50.176,247.017,184.632,12.853,,,3.994.544,1.817.092,1.880.696,4.476.948,18.107.548,443.743,254.488,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,24.638,5.473,58.187,1.573,8.628,3.217,418,,,918.387,197.928,1.938.883,51.749,255.645,187.849,13.271,,,4.019.182,1.822.565,1.938.883,4.478.521,18.116.176,446.96,254.906,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,33.919,5.354,51.363,993,7.588,3.57,156,,,952.306,203.282,1.990.246,52.742,263.233,191.419,13.427,,,4.053.101,1.827.919,1.990.246,4.479.514,18.123.764,450.53,255.062,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,43.275,4.279,52.998,978,10.116,2.752,235,,,995.581,207.561,2.043.244,53.72,273.349,194.171,13.662,,,4.096.376,1.832.198,2.043.244,4.480.492,18.133.880,453.282,255.297,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,75.693,5.697,93.821,936,7.472,3.01,219,,,1.071.274,213.258,2.137.065,54.656,280.821,197.181,13.881,,,4.172.069,1.837.895,2.137.065,4.481.428,18.141.352,456.292,255.516,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,77.869,6.43,91.094,1.37,11.21,4.211,247,,,1.149.143,219.688,2.228.159,56.026,292.031,201.392,14.128,,,4.249.938,1.844.325,2.228.159,4.482.798,18.152.562,460.503,255.763,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,79.867,2.904,94.38,776,9.901,1.424,435,,,1.229.010,222.592,2.322.539,56.802,301.932,202.816,14.563,,,4.329.805,1.847.229,2.322.539,4.483.574,18.162.463,461.927,256.198,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,88.286,5.951,73.315,552,6.528,3.264,172,,,1.317.296,228.543,2.395.854,57.354,308.46,206.08,14.735,,,4.418.091,1.853.180,2.395.854,4.484.126,18.168.991,465.191,256.37,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,156.471,3.368,95.618,1.393,6.637,2.328,156,,,1.473.767,231.911,2.491.472,58.747,315.097,208.408,14.891,,,4.574.562,1.856.548,2.491.472,4.485.519,18.175.628,467.519,256.526,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,103.263,5.077,85.209,1.266,7.762,2.435,77,,,1.577.030,236.988,2.576.681,60.013,322.859,210.843,14.968,,,4.677.825,1.861.625,2.576.681,4.486.785,18.183.390,469.954,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,75.283,4.118,85.225,989,8.808,1.655,,,,1.652.313,241.106,2.661.906,61.002,331.667,212.498,14.968,,,4.753.108,1.865.743,2.661.906,4.487.774,18.192.198,471.609,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,69.158,1.813,94.412,1.842,10.379,2.042,,,,1.721.471,242.919,2.756.318,62.844,342.046,214.54,14.968,,,4.822.266,1.867.556,2.756.318,4.489.616,18.202.577,473.651,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,69.159,1.813,94.413,1.842,10.379,2.043,,,,1.790.630,244.732,2.850.731,64.686,352.425,216.583,14.968,,,4.891.425,1.869.369,2.850.731,4.491.458,18.212.956,475.694,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,60.019,3.908,78.328,1.023,9.801,2.238,,,,1.850.649,248.64,2.929.059,65.709,362.226,218.821,14.968,,,4.951.444,1.873.277,2.929.059,4.492.481,18.222.757,477.932,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,51.236,3.615,64.827,750,6.675,2.147,,,,1.901.885,252.255,2.993.886,66.459,368.901,220.968,14.968,,,5.002.680,1.876.892,2.993.886,4.493.231,18.229.432,480.079,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,44.844,8.245,57.405,347,6.342,1.666,,,,1.946.729,260.5,3.051.291,66.806,375.243,222.634,14.968,,,5.047.524,1.885.137,3.051.291,4.493.578,18.235.774,481.745,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,133.719,45.651,2.889,50.44,511,11.245,2.845,,,133.719,1.992.380,263.389,3.101.731,67.317,386.488,225.479,14.968,,133.719,5.093.175,1.888.026,3.101.731,4.494.089,18.247.019,484.59,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,29.209,47.29,1.082,68.77,679,10.806,1.683,,,162.928,2.039.670,264.471,3.170.501,67.996,397.294,227.162,14.968,,162.928,5.140.465,1.889.108,3.170.501,4.494.768,18.257.825,486.273,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,21.337,40.565,1.586,61.566,644,8.97,1.985,,,184.265,2.080.235,266.057,3.232.067,68.64,406.264,229.147,14.968,,184.265,5.181.030,1.890.694,3.232.067,4.495.412,18.266.795,488.258,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,14.302,41.487,682,44.922,811,8.891,3.957,,,198.567,2.121.722,266.739,3.276.989,69.451,415.155,233.104,14.968,,198.567,5.222.517,1.891.376,3.276.989,4.496.223,18.275.686,492.215,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,8.538,41.183,387,39.363,304,10.072,3.85,,,207.105,2.162.905,267.126,3.316.352,69.755,425.227,236.954,14.968,,207.105,5.263.700,1.891.763,3.316.352,4.496.527,18.285.758,496.065,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,10.1,36.276,589,37.057,493,12.509,3.644,,,217.205,2.199.181,267.715,3.353.409,70.248,437.736,240.598,14.968,,217.205,5.299.976,1.892.352,3.353.409,4.497.020,18.298.267,499.709,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,25.224,41.665,254,44.413,378,13.234,4.251,,,242.429,2.240.846,267.969,3.397.822,70.626,450.97,244.849,14.968,,242.429,5.341.641,1.892.606,3.397.822,4.497.398,18.311.501,503.96,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,19.891,31.323,283,36.074,143,16.346,7.94,,,262.32,2.272.169,268.252,3.433.896,70.769,467.316,252.789,14.968,,262.32,5.372.964,1.892.889,3.433.896,4.497.541,18.327.847,511.9,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,18.073,33.993,152,33.146,331,14.756,5.099,,,280.393,2.306.162,268.404,3.467.042,71.1,482.072,257.888,14.968,,280.393,5.406.957,1.893.041,3.467.042,4.497.872,18.342.603,516.999,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,19.019,36.224,296,28.096,481,14.477,3.946,,,299.412,2.342.386,268.7,3.495.138,71.581,496.549,261.834,14.968,,299.412,5.443.181,1.893.337,3.495.138,4.498.353,18.357.080,520.945,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,129.377,37.381,119,31.083,564,23.675,5.218,,,428.789,2.379.767,268.819,3.526.221,72.145,520.224,267.052,14.968,,428.789,5.480.562,1.893.456,3.526.221,4.498.917,18.380.755,526.163,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,44.462,108.161,202,43.908,405,16.588,2.862,,,473.251,2.487.928,269.021,3.570.129,72.55,536.812,269.914,14.968,,473.251,5.588.723,1.893.658,3.570.129,4.499.322,18.397.343,529.025,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,52.806,103.141,5.232,38.887,,21.911,3.187,,,526.057,2.591.069,274.253,3.609.016,72.55,558.723,273.101,14.968,,526.057,5.691.864,1.898.890,3.609.016,4.499.322,18.419.254,532.212,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,100.882,184.179,7.109,120.711,,37.569,5.588,,,626.939,2.775.248,281.362,3.729.727,72.55,596.292,278.689,14.968,,626.939,5.876.043,1.905.999,3.729.727,4.499.322,18.456.823,537.8,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,168.268,221.978,2.992,264.849,,46.45,8.716,,,795.207,2.997.226,284.354,3.994.576,72.55,642.742,287.405,14.968,,795.207,6.098.021,1.908.991,3.994.576,4.499.322,18.503.273,546.516,256.603,,,,,,,,,,,,,,,,,,,,
,,,,,,,,130.719,248.912,3.746,215.741,,36.695,9.292,,,925.926,3.246.138,288.1,4.210.317,72.55,679.437,296.697,14.968,,925.926,6.346.933,1.912.737,4.210.317,4.499.322,18.539.968,555.808,256.603,,,,,,,,,,,,,,,,,,,,
